역사명,역위도,역경도,geometry
신대방역,37.48741288,126.9135942,POINT (126.9135942 37.48741288)
신도림역,37.50886647,126.89138205,POINT (126.89138205 37.50886647)
신림역,37.48420085,126.9295937,POINT (126.9295937 37.48420085)
신목동역,37.54445782,126.88311570000002,POINT (126.8831157 37.54445782)
신반포역,37.50368274,126.9960492,POINT (126.9960492 37.50368274)
신방화역,37.5677681,126.8174174,POINT (126.8174174 37.5677681)
신사역,37.51618776,127.020092,POINT (127.020092 37.51618776)
신설동역,37.575241775,127.0248844,POINT (127.0248844 37.575241775)
신용산역,37.5292129,126.9677003,POINT (126.9677003 37.5292129)
신이문역,37.601829,127.067347,POINT (127.067347 37.601829)
신정네거리역,37.51999688,126.8528986,POINT (126.8528986 37.51999688)
신정역,37.52501081,126.8562294,POINT (126.8562294 37.52501081)
신촌역,37.557555,126.9395953,POINT (126.9395953 37.557555)
신풍역,37.50008919,126.9098598,POINT (126.9098598 37.50008919)
쌍문역,37.64853159,127.0345002,POINT (127.0345002 37.64853159)
아차산역,37.55203633,127.0896015,POINT (127.0896015 37.55203633)
아현역,37.55721977,126.9561295,POINT (126.9561295 37.55721977)
안국역,37.57666379,126.9854787,POINT (126.9854787 37.57666379)
안암역,37.58623045,127.0292203,POINT (127.0292203 37.58623045)
암사역,37.54997529,127.1274183,POINT (127.1274183 37.54997529)
압구정로데오역,37.527385,127.040555,POINT (127.040555 37.527385)
압구정역,37.52668639,127.0283697,POINT (127.0283697 37.52668639)
애오개역,37.5535295,126.956632,POINT (126.956632 37.5535295)
약수역,37.5543519,127.0104682,POINT (127.0104682 37.5543519)
양원역,37.6068632,127.1077551,POINT (127.1077551 37.6068632)
양재역,37.48381174,127.0345768,POINT (127.0345768 37.48381174)
양천구청역,37.51205148,126.8656075,POINT (126.8656075 37.51205148)
양천향교역,37.56830908,126.8418983,POINT (126.8418983 37.56830908)
양평역,37.52558457,126.8862032,POINT (126.8862032 37.52558457)
어린이대공원역,37.54780394,127.0745637,POINT (127.0745637 37.54780394)
언주역,37.50744596,127.03428490000002,POINT (127.0342849 37.50744596)
여의나루역,37.52707204,126.9328665,POINT (126.9328665 37.52707204)
여의도역,37.52165166,126.9242291,POINT (126.9242291 37.52165166)
역삼역,37.50054496,127.03639440000002,POINT (127.0363944 37.50054496)
역촌역,37.60625985,126.9227732,POINT (126.9227732 37.60625985)
연신내역,37.61881292,126.9207158,POINT (126.9207158 37.61881292)
영등포구청역,37.52524847,126.8958333,POINT (126.8958333 37.52524847)
영등포시장역,37.52274531,126.9047596,POINT (126.9047596 37.52274531)
영등포역,37.515756,126.907411,POINT (126.907411 37.515756)
오금역,37.50206322,127.12781875,POINT (127.12781875 37.50206322)
오류동역,37.4944,126.844551,POINT (126.844551 37.4944)
오목교역,37.52436614,126.8750582,POINT (126.8750582 37.52436614)
옥수역,37.54100085,127.0182294,POINT (127.0182294 37.54100085)
온수역,37.49221312,126.82355185,POINT (126.82355185 37.49221312)
올림픽공원역,37.51614437,127.13074035,POINT (127.13074035 37.51614437)
왕십리역,37.56145944,127.03664006666666,POINT (127.0366400666667 37.56145944)
외대앞역,37.596157,127.063572,POINT (127.063572 37.596157)
용답역,37.56183232,127.050871,POINT (127.050871 37.56183232)
용두역,37.57389197,127.0379098,POINT (127.0379098 37.57389197)
용마산역,37.5736549,127.0865586,POINT (127.0865586 37.5736549)
용산역,37.52989,126.964775,POINT (126.964775 37.52989)
우장산역,37.54886035,126.8363531,POINT (126.8363531 37.54886035)
월계역,37.633114,127.05883500000002,POINT (127.058835 37.633114)
월곡역,37.6020753,127.0414221,POINT (127.0414221 37.6020753)
월드컵경기장역,37.56938269,126.8990612,POINT (126.8990612 37.56938269)
을지로3가역,37.56634826,126.991482,POINT (126.991482 37.56634826)
을지로4가역,37.56692797,126.99790159999998,POINT (126.9979016 37.56692797)
을지로입구역,37.56597747,126.9825045,POINT (126.9825045 37.56597747)
응봉역,37.550433,127.034824,POINT (127.034824 37.550433)
응암역,37.59853005,126.9155088,POINT (126.9155088 37.59853005)
이대역,37.55672128,126.945801,POINT (126.945801 37.55672128)
이수역,37.486682,126.981845,POINT (126.981845 37.486682)
이촌역,37.52240847,126.97397709999998,POINT (126.9739771 37.52240847)
이태원역,37.53449861,126.994038,POINT (126.994038 37.53449861)
일원역,37.48382242,127.0843143,POINT (127.0843143 37.48382242)
잠실나루역,37.52054808,127.1036977,POINT (127.1036977 37.52054808)
잠실새내역,37.51141143,127.0860068,POINT (127.0860068 37.51141143)
잠실역,37.513817075000006,127.10234235,POINT (127.10234235 37.51381707500001)
잠원역,37.51282982,127.0112442,POINT (127.0112442 37.51282982)
장승배기역,37.50482108,126.9388623,POINT (126.9388623 37.50482108)
장지역,37.47839756,127.1260529,POINT (127.1260529 37.47839756)
장한평역,37.56153057,127.06428259999998,POINT (127.0642826 37.56153057)
정릉역,37.60921954,127.014022,POINT (127.014022 37.60921954)
제기동역,37.57812027,127.0344966,POINT (127.0344966 37.57812027)
종각역,37.57020349,126.9829483,POINT (126.9829483 37.57020349)
종로3가역,37.57139366,126.99134483333334,POINT (126.9913448333333 37.57139366)
종로5가역,37.57100685,127.001799,POINT (127.001799 37.57100685)
종합운동장역,37.51101504,127.0734489,POINT (127.0734489 37.51101504)
중계역,37.64521691,127.0640831,POINT (127.0640831 37.64521691)
중곡역,37.56568111,127.0841504,POINT (127.0841504 37.56568111)
중랑역,37.594948,127.076152,POINT (127.076152 37.594948)
중앙보훈병원역,37.52961418,127.142757,POINT (127.142757 37.52961418)
중화역,37.60251645,127.079253,POINT (127.079253 37.60251645)
증산역,37.58375597,126.9094115,POINT (126.9094115 37.58375597)
창동역,37.65315166,127.0476758,POINT (127.0476758 37.65315166)
창신역,37.57934562,127.0151078,POINT (127.0151078 37.57934562)
천왕역,37.48661459,126.8386245,POINT (126.8386245 37.48661459)
천호역,37.53842355,127.1236234,POINT (127.1236234 37.53842355)
청구역,37.56021257,127.0136698,POINT (127.0136698 37.56021257)
청담역,37.5195959,127.0537514,POINT (127.0537514 37.5195959)
청량리역,37.58034355,127.0461464,POINT (127.0461464 37.58034355)
충무로역,37.56130209,126.9943556,POINT (126.9943556 37.56130209)
충정로역,37.56022847,126.9635503,POINT (126.9635503 37.56022847)
태릉입구역,37.61806532999999,127.0747937,POINT (127.0747937 37.61806532999999)
하계역,37.63642687,127.0678149,POINT (127.0678149 37.63642687)
학동역,37.51428621,127.0317362,POINT (127.0317362 37.51428621)
학여울역,37.49655351,127.0713676,POINT (127.0713676 37.49655351)
한강진역,37.53974445,127.0014826,POINT (127.0014826 37.53974445)
한남역,37.529361,127.008984,POINT (127.008984 37.529361)
한성대입구역,37.58838493,127.0059994,POINT (127.0059994 37.58838493)
한성백제역,37.51686537,127.118185,POINT (127.118185 37.51686537)
