연번,지방청,경찰서,관서명,지역파출소,치안센터명,주소,lon,lat,geometry
18,서울청,서울성북,정릉,파출소,정릉3치안센터,서울 성북구 정릉로 10길 44,126.999240002,37.607914760,POINT (126.999240002 37.60791476)
19,서울청,서울성북,정릉,파출소,정릉4치안센터,서울 성북구 보국문로 87,127.008182293,37.611887140,POINT (127.008182293 37.61188714)
20,서울청,서울성북,성북,파출소,성북1치안센터,서울 성북로 25,127.004042786,37.590170535,POINT (127.004042786 37.590170535)
21,서울청,서울동대문,답십리,지구대,답십리1치안센터,서울 동대문 고미술로 93,127.056804064,37.564663316,POINT (127.056804064 37.564663316)
22,서울청,서울동대문,답십리,지구대,답십리2치안센터,서울 동대문 한천로11길 30,127.060662061,37.567247095,POINT (127.060662061 37.567247095)
23,서울청,서울동대문,용신,지구대,신설치안센터,서울 동대문구 왕산로 5,127.024203035,37.576213480,POINT (127.024203035 37.57621348)
24,서울청,서울동대문,용신,지구대,용두치안센터,서울 동대문구 왕산로 95,127.033997210,37.578345458,POINT (127.03399721 37.578345458)
25,서울청,서울동대문,전농2,파출소,전농4치안센터,서울 동대문구 시립대로 14길 31,127.0522181,37.5790983,POINT (127.0522181 37.5790983)
26,서울청,서울동대문,장안1,파출소,남장안치안센터,서울 동대문구 한천로 10길 4,127.061425509,37.565442572,POINT (127.061425509 37.565442572)
27,서울청,서울동대문,장안1,파출소,장안3치안센터,서울 동대문구 장안로18길 78,127.0730669,37.567768,POINT (127.0730669 37.567768)
28,서울청,서울동대문,이문,지구대,이문2치안센터,서울 동대문구 이문로 196,127.062263832,37.604008095,POINT (127.062263832 37.604008095)
29,서울청,서울동대문,휘경,파출소,휘경2치안센터,서울 동대문구 망우로 20길 4,127.062688055,37.589840017,POINT (127.062688055 37.589840017)
30,서울청,서울마포,공덕,지구대,아현치안센터,서울 마포구 환일길 3,126.960311352,37.557450604,POINT (126.960311352 37.557450604)
31,서울청,서울마포,용강,지구대,도화치안센터,서울 마포구 도화길 40,126.950207669,37.541293694,POINT (126.950207669 37.541293694)
32,서울청,서울마포,용강,지구대,대흥치안센터,서울 마포구 대흥로 85,126.941514663,37.547722949,POINT (126.941514663 37.547722949)
33,서울청,서울마포,서강,지구대,노고산치안센터,서울 마포구 신촌로18길 26,126.934702248,37.554499570,POINT (126.934702248 37.55449957)
34,서울청,서울마포,홍익,지구대,서교치안센터,서울 마포구 잔다리로 6길 29,126.920802977,37.552425430,POINT (126.920802977 37.55242543)
35,서울청,서울마포,홍익,지구대,동교치안센터,서울 마포구 양화로 178-17,126.9282706,37.5573016,POINT (126.9282706 37.5573016)
36,서울청,서울마포,망원,파출소,망원2치안센터,서울 마포구 월드컵로 31길 18,126.903751754,37.561627946,POINT (126.903751754 37.561627946)
37,서울청,서울영등포,중앙,지구대,영2치안센터,서울 영등포구 버드나루로 1-1,126.912214764,37.519017422,POINT (126.912214764 37.519017422)
38,서울청,서울영등포,문래,지구대,도림치안센터,서울 영등포구 도신로 29길 13,126.904676574,37.509563847,POINT (126.904676574 37.509563847)
