자치구,안심 주소,CCTV 용도,WGS x좌표,WGS y좌표,CCTV 수량,수정 일시
중랑구,서울특별시 중랑구 묵동 동일로148나길 10 ,도심공원,37.60892105,127.0815659,3,2021-01-12
중랑구,서울특별시 중랑구 면목동 겸재로 193 면목다가구주택,방범,37.58950774,127.0896188,1,2021-01-12
중랑구,서울특별시 중랑구 면목동 용마산로94길 64 ,방범,37.58740086,127.0996959,2,2021-01-12
중랑구,서울특별시 중랑구 망우동 봉우재로 218 24시슈퍼,방범,37.59446335,127.0971527,4,2021-01-12
중랑구,서울특별시 중랑구 면목동 용마산로 409 아이비고시원,방범,37.58879709,127.0956309,3,2021-01-12
중랑구,서울특별시 중랑구 상봉동 동일로116길 3 ,방범,37.59444046,127.0810623,3,2021-01-12
중랑구,서울특별시 중랑구 신내동 용마산로139길 61 ,방범,37.61553888,127.0977834,3,2021-01-12
중랑구,서울특별시 중랑구 상봉동 상봉중앙로 44 드림하우스,방범,37.600793,127.0883653,3,2021-01-12
중랑구,서울특별시 중랑구 묵동 공릉로14길 37 ,방범,37.61823273,127.0817871,2,2021-01-12
중랑구,서울특별시 중랑구 상봉동 상봉로 117 상봉시외버스터미널,방범,37.59643046,127.0928594,2,2021-01-12
중랑구,서울특별시 중랑구 망우동 봉우재로57길 58 ,방범,37.59729385,127.0955658,2,2021-01-12
중랑구,서울특별시 중랑구 면목동 용마산로94길 64 ,방범,37.58712725,127.1003274,3,2021-01-12
중랑구,서울특별시 중랑구 면목동 사가정로71길 11 용마2차한신아파트,방범,37.58082962,127.0949554,2,2021-01-12
중랑구,서울특별시 중랑구 상봉동 봉화산로 146 엘지아파트,방범,37.60457993,127.0900345,3,2021-01-12
중랑구,서울특별시 중랑구 중화동 동일로124길 76 청호빌,방범,37.60067709,127.0825481,3,2021-01-12
중랑구,서울특별시 중랑구 면목동 겸재로36길 23 ,방범,37.58666611,127.0860596,4,2021-01-12
중랑구,서울특별시 중랑구 망우동 망우로 458 샛별유치원,방범,37.59958754,127.1024629,4,2021-01-12
중랑구,서울특별시 중랑구 면목동 겸재로18길 33 ,방범,37.58586206,127.0816007,2,2021-01-12
중랑구,서울특별시 중랑구 면목동 면목로 325 ,방범,37.581707,127.0883102,2,2021-01-12
중랑구,서울특별시 중랑구 망우동 망우로70길 11 ,방범,37.59863629,127.102733,4,2021-01-12
중랑구,서울특별시 중랑구 상봉동 동일로120길 138 ,방범,37.59837085,127.0878654,2,2021-01-12
중랑구,서울특별시 중랑구 면목동 용마산로86길 9 ,방범,37.58626556,127.0962219,2,2021-01-12
중랑구,서울특별시 중랑구 망우동 망우로67가길 27 ,방범,37.60216522,127.103302,3,2021-01-12
중랑구,신내1동 437 (벽산아파트입구옆건너편 고정),방범,37.60242844,127.0995789,2,2021-01-12
중랑구,서울특별시 중랑구 상봉동 동일로126길 107 ,방범,37.59922028,127.0862198,4,2021-01-12
중랑구,서울특별시 중랑구 면목동 겸재로3길 28 ,방범,37.5879097,127.0777893,1,2021-01-12
중랑구,서울특별시 중랑구 상봉동 송림길 3 ,방범,37.59983444,127.0959244,1,2021-01-12
중랑구,서울특별시 중랑구 중화동 동일로124길 64 ,방범,37.59902573,127.0837021,4,2021-01-12
중랑구,서울특별시 중랑구 상봉동 동일로112길 54 ,방범,37.59332657,127.0845413,2,2021-01-12
중랑구,서울특별시 중랑구 상봉동 상봉중앙로1다길 41 ,방범,37.59992106,127.0894701,2,2021-01-12
중랑구,서울특별시 중랑구 중화동 중랑천로 174 ,방범,37.60005987,127.0737691,3,2021-01-12
중랑구,서울특별시 중랑구 망우동 망우로76길 11 ,방범,37.59920356,127.1055354,1,2021-01-12
중랑구,서울특별시 중랑구 상봉동 송림길 3 ,방범,37.59993362,127.0952301,2,2021-01-12
중랑구,서울특별시 중랑구 신내동 신내로21길 104 ,도심공원,37.61382294,127.0886002,4,2021-01-12
중랑구,서울특별시 중랑구 면목동 겸재로 156 ,방범,37.58779526,127.0853271,2,2021-01-12
중랑구,서울특별시 중랑구 신내동 봉화산로52길 48 신내제일교회,방범,37.60502625,127.0966873,2,2021-01-12
중랑구,서울특별시 중랑구 면목동 동일로 606 ,방범,37.58404922,127.080658,4,2021-01-12
중랑구,서울특별시 중랑구 망우동 망우로 476 ,방범,37.60048953,127.1059314,3,2021-01-12
중랑구,서울특별시 중랑구 상봉동 상봉중앙로1다길 41 ,방범,37.59950511,127.0896896,3,2021-01-12
중랑구,서울특별시 중랑구 신내동 봉화산로56길 64 ,방범,37.60585692,127.0979303,4,2021-01-12
중랑구,서울특별시 중랑구 상봉동 상봉중앙로6길 30 ,방범,37.60198975,127.0890198,4,2021-01-12
중랑구,서울특별시 중랑구 망우동 망우로 458 샛별유치원,방범,37.59914866,127.102665,2,2021-01-12
중랑구,서울특별시 중랑구 면목동 겸재로30가길 20 현대아트빌,방범,37.58587646,127.0859451,4,2021-01-12
중랑구,서울특별시 중랑구 면목동 답십리로77가길 6 ,방범,37.57394968,127.0829947,3,2021-01-12
중랑구,서울특별시 중랑구 망우동 망우로77길 34 ,방범,37.60205078,127.1059723,1,2021-01-12
중랑구,서울특별시 중랑구 면목동 답십리로81길 95 ,방범,37.57517046,127.0846351,4,2021-01-12
중랑구,서울특별시 중랑구 면목동 면목로51길 5 경수하이빌,도심공원,37.58359528,127.0873108,4,2021-01-12
중랑구,서울특별시 중랑구 중화동 동일로124길 29 ,방범,37.59874895,127.0826786,3,2021-01-12
중랑구,서울특별시 중랑구 상봉동 망우로 312 ,방범,37.59636688,127.0879822,4,2021-01-12
중랑구,서울특별시 중랑구 중화동 동일로136가길 7 ,방범,37.60307693,127.0808792,1,2021-01-12
중랑구,서울특별시 중랑구 신내동 용마산로125나길 15 ,방범,37.60379223,127.0993336,3,2021-01-12
중랑구,서울특별시 중랑구 면목동 면목로38가길 42 ,방범,37.5793072,127.0895914,4,2021-01-12
중랑구,서울특별시 중랑구 신내동 봉화산로56길 99 ,방범,37.60411991,127.0989182,3,2021-01-12
중랑구,서울특별시 중랑구 상봉동 상봉중앙로1다길 47 ,방범,37.59991821,127.0907752,3,2021-01-12
중랑구,서울특별시 중랑구 면목동 용마산로 332 ,방범,37.58190149,127.0944005,4,2021-01-12
중랑구,신내2동 650 (은하수공원),도심공원,37.61572715,127.0913353,2,2021-01-12
중랑구,서울특별시 중랑구 면목동 동일로 683 수도관합기도,방범,37.59135971,127.0799652,4,2021-01-12
중랑구,서울특별시 중랑구 면목동 면목로 249 ,방범,37.57584766,127.0853015,2,2021-01-12
중랑구,서울특별시 중랑구 중화동 봉화산로 9 ,방범,37.60243988,127.0751953,1,2021-01-12
중랑구,서울특별시 중랑구 면목동 용마산로72길 24 신안하우스,방범,37.58359528,127.0952072,3,2021-01-12
중랑구,서울특별시 중랑구 면목동 면목로 391 서울사부동산,방범,37.58613205,127.087616,4,2021-01-12
중랑구,서울특별시 중랑구 상봉동 망우로 266 ,방범,37.59501114,127.0828974,4,2021-01-12
중랑구,서울특별시 중랑구 중화동 망우로 239 가나안교회,방범,37.59581046,127.0794291,2,2021-01-12
중랑구,서울특별시 중랑구 면목동 용마산로 271 면목금호어울림아파트,방범,37.577034,127.0898361,2,2021-01-12
중랑구,서울특별시 중랑구 상봉동 상봉중앙로1다길 67 ,방범,37.60045242,127.0912476,4,2021-01-12
중랑구,서울특별시 중랑구 망우동 망우로67가길 12 ,도심공원,37.60250582,127.102688,2,2021-01-12
중랑구,서울특별시 중랑구 면목동 면목로45길 64 ,방범,37.58246582,127.0842745,3,2021-01-12
중랑구,서울특별시 중랑구 망우동 양원역로 18 중랑숲금호어울림,방범,37.60266462,127.1084329,3,2021-01-12
중랑구,서울특별시 중랑구 망우동 용마산로100길 82 ,도심공원,37.58904367,127.1024835,2,2021-01-12
중랑구,면목7동 산 50-16(고정1),도심공원,37.57928116,127.0978232,2,2021-01-12
중랑구,면목4동 산 1-4 (용마폭포공원 테니스장),도심공원,37.57386121,127.0909026,1,2021-01-12
중랑구,서울특별시 중랑구 중화동 동일로139나길 39 ,방범,37.6050415,127.0763016,3,2021-01-12
중랑구,면목7동 산 1-9 (사가정공원 용비 배드민턴장),도심공원,37.57985605,127.0977554,3,2021-01-12
중랑구,서울특별시 중랑구 망우동 망우로77길 8 ,방범,37.60147547,127.1063913,1,2021-01-12
중랑구,서울특별시 중랑구 중화동 동일로123길 98 ,방범,37.6009457,127.0755168,1,2021-01-12
중랑구,서울특별시 중랑구 면목동 면목로78길 87 ,방범,37.5918826,127.0926498,3,2021-01-12
중랑구,서울특별시 중랑구 면목동 면목로 211 ,방범,37.57276062,127.083264,4,2021-01-12
중랑구,서울특별시 중랑구 망우동 용마산로 450 창원빌딩,방범,37.59173493,127.0982426,4,2021-01-12
중랑구,서울특별시 중랑구 면목동 면목로 337 ,방범,37.58270367,127.0880061,4,2021-01-12
중랑구,서울특별시 중랑구 망우동 양원역로 18 중랑숲금호어울림,방범,37.60212224,127.1081813,4,2021-01-12
중랑구,서울특별시 중랑구 면목동 봉우재로 88 ,방범,37.5919684,127.0835279,2,2021-01-12
중랑구,서울특별시 중랑구 신내동 용마산로139가길 60 ,방범,37.61722767,127.1006182,2,2021-01-12
중랑구,서울특별시 중랑구 묵동 숙선옹주로 24 ,방범,37.6144089,127.0793664,4,2021-01-12
중랑구,서울특별시 중랑구 망우동 용마공원로5가길 9 하나빌리지,방범,37.59485825,127.102557,3,2021-01-12
중랑구,서울특별시 중랑구 중화동 동일로143길 49 ,방범,37.60401535,127.0751572,2,2021-01-12
중랑구,서울특별시 중랑구 상봉동 동일로126길 107 ,방범,37.5990887,127.0860606,1,2021-01-12
중랑구,서울특별시 중랑구 면목동 면목로35길 20 ,방범,37.578125,127.0842819,4,2021-01-12
중랑구,상봉1동 53-2(망우역뒷편#2고정1),방범,37.60081336,127.0936933,2,2021-01-12
중랑구,서울특별시 중랑구 묵동 동일로154길 15 ,방범,37.60904694,127.0796127,2,2021-01-12
중랑구,서울특별시 중랑구 면목동 면목로 283 우리은행,방범,37.57810438,127.0858177,1,2021-01-12
중랑구,서울특별시 중랑구 묵동 공릉로2길 22 ,방범,37.61149979,127.0795898,2,2021-01-12
중랑구,서울특별시 중랑구 중화동 동일로136가길 8 반석주택,방범,37.60229991,127.0819568,4,2021-01-12
중랑구,서울특별시 중랑구 상봉동 상봉중앙로5가길 14 ,방범,37.60101668,127.0868236,2,2021-01-12
중랑구,서울특별시 중랑구 중화동 봉화산로30길 5 ,방범,37.6019516,127.0851135,3,2021-01-12
중랑구,서울특별시 중랑구 망우동 망우로87길 27 ,방범,37.60137558,127.111496,2,2021-01-12
중랑구,서울특별시 중랑구 면목동 겸재로40길 71 ,방범,37.58476257,127.087471,3,2021-01-12
중랑구,서울특별시 중랑구 면목동 면목로35길 33 ,방범,37.57852173,127.0837479,2,2021-01-12
중랑구,서울특별시 중랑구 면목동 겸재로18길 33 ,방범,37.58543396,127.0813904,3,2021-01-12
중랑구,서울특별시 중랑구 면목동 면목로 437 ,방범,37.59135818,127.0861893,2,2021-01-12
중랑구,망우본동 산 51-4 (망우공원묘지입구 고정),방범,37.6014678,127.11458,3,2021-01-12
중랑구,서울특별시 중랑구 면목동 답십리로77가길 15 ,방범,37.57460391,127.0824781,1,2021-01-12
중랑구,서울특별시 중랑구 망우동 양원역로 5 ,방범,37.6018871,127.1087112,1,2021-01-12
중랑구,면목4동 산 1-4 (용마폭포공원 배드민턴장),도심공원,37.57425632,127.0909311,1,2021-01-12
중랑구,서울특별시 중랑구 면목동 면목로 286 고려체육관,방범,37.57842522,127.0867187,1,2021-01-12
중랑구,서울특별시 중랑구 면목동 면목로 233 ,방범,37.57412796,127.0841868,3,2021-01-12
중랑구,서울특별시 중랑구 묵동 숙선옹주로 29 ,방범,37.61485291,127.080864,4,2021-01-12
