지방청,경찰서,관서명,구분,주소,파출소명,lat,lon
서울청,서울종암,석관,파출소,서울특별시 성북구  화랑로32가길 20 석관파출소,석관파출소,37.608959869,127.055269007
서울청,서울종암,장위,지구대,서울특별시 성북구  화랑로19길 85 장위지구대,장위지구대,37.609988186,127.051407638
서울청,서울종암,월곡,지구대,서울특별시 성북구  종암로32길 5 월곡지구대,월곡지구대,37.604428898,127.032401322
서울청,서울종암,종암,파출소,서울특별시 성북구  종암로23길 52,종암파출소,37.600100048,127.031258999
서울청,서울구로,신구로,지구대,서울특별시 구로구 새말로 26 신구로지구대,신구로지구대,37.502271380,126.883895751
서울청,서울구로,오류,지구대,서울특별시 구로구  고척로1길 34 오류지구대,오류지구대,37.494812379,126.838843113
서울청,서울구로,구일,지구대,서울특별시 구로구  도림로 63 구일지구대,구일지구대,37.489262677,126.890714164
서울청,서울구로,고척,지구대,서울특별시 구로구 중앙로 15길 30 고척지구대,고척지구대,37.5068397,126.8573065
서울청,서울구로,개봉,지구대,서울특별시 구로구  개봉로18길 5 개봉지구대,개봉지구대,37.491781901,126.856440094
서울청,서울구로,구로3,파출소,서울특별시 구로구  디지털로31길 86 구로3파출소,구로3파출소,37.486660487,126.891399495
서울청,서울구로,가리봉,파출소,서울특별시 구로구 남부순환로 1275 가리봉파출소,가리봉파출소,37.479202718,126.892654632
서울청,서울구로,천왕,파출소,서울특별시 구로구 오리로 1102-8,천왕파출소,37.483854445,126.842564282
서울청,서울서초,반포,지구대,서울특별시 서초구 신반포로190,반포지구대,37.505966522,127.005185734
서울청,서울서초,내곡,파출소,서울특별시 서초구 헌릉로 226,내곡파출소,37.454950605,127.064924429
서울청,서울양천,목1,지구대,서울특별시 양천구  목동동로 373,목1지구대,37.535143283,126.878462759
서울청,서울양천,목2,지구대,서울특별시 양천구  등촌로 166,목2지구대,37.544489136,126.862355489
서울청,서울양천,신정1,지구대,서울특별시 양천구  중앙로32길 65,신정1지구대,37.520300400,126.860768399
