,자치구,안심 주소,CCTV 용도,WGS x좌표,WGS y좌표,CCTV 수량,수정 일시,geometry,outlier
10618,서초구,서울특별시 서초구 서초동 사임당로19길 94 삼호주택,방범,37.49239952,127.0200428,1,2021-01-19,POINT (127.0200428 37.49239952),1
10619,서초구,서울특별시 서초구 서초동 사임당로17길 99 하이센스빌딩,방범,37.49244531,127.0189071,1,2021-01-19,POINT (127.0189071 37.49244531),1
10620,서초구,서울특별시 서초구 서초동 사임당로17길 99 하이센스빌딩,방범,37.49245404,127.0188998,1,2021-01-19,POINT (127.0188998 37.49245404),1
10621,서초구,서울특별시 서초구 방배동 동광로11길 19 ,방범,37.49247466,126.9859659,1,2021-01-19,POINT (126.9859659 37.49247466),1
10622,서초구,서울특별시 서초구 방배동 동광로11길 19 ,방범,37.4924816,126.9859513,1,2021-01-19,POINT (126.9859513 37.4924816),1
10623,서초구,서울특별시 서초구 방배동 동광로11길 19 ,방범,37.49248496,126.9859625,1,2021-01-19,POINT (126.9859625 37.49248496),1
10624,서초구,서울특별시 서초구 방배동 동광로11길 19 ,방범,37.49249436,126.9859572,1,2021-01-19,POINT (126.9859572 37.49249436),1
10625,서초구,서울특별시 서초구 서초동 사임당로19길 72 ,방범,37.49251718,127.0190002,1,2021-01-19,POINT (127.0190002 37.49251718),1
10626,서초구,서울특별시 서초구 방배동 방배중앙로 145 ,방범,37.49255219,126.9866719,1,2021-01-19,POINT (126.9866719 37.49255219),1
10627,서초구,서울특별시 서초구 방배동 방배중앙로 145 ,방범,37.49262026,126.9865999,1,2021-01-19,POINT (126.9865999 37.49262026),1
10628,서초구,서울특별시 서초구 방배동 방배중앙로 145 ,방범,37.49262922,126.9866904,1,2021-01-19,POINT (126.9866904 37.49262922),1
10629,서초구,서울특별시 서초구 방배동 동광로11길 19 ,방범,37.49267621,126.9851165,1,2021-01-19,POINT (126.9851165 37.49267621),1
10630,서초구,서울특별시 서초구 방배동 동광로11길 19 ,방범,37.49268294,126.9854438,1,2021-01-19,POINT (126.9854438 37.49268294),1
10631,서초구,서울특별시 서초구 방배동 동광로11길 19 ,방범,37.49268427,126.9851184,1,2021-01-19,POINT (126.9851184 37.49268427),1
10632,서초구,서울특별시 서초구 방배동 동광로11길 19 ,방범,37.49268427,126.9851339,1,2021-01-19,POINT (126.9851339 37.49268427),1
10633,서초구,서울특별시 서초구 방배동 동광로1길 10 ,방범,37.49268833,126.9844326,1,2021-01-19,POINT (126.9844326 37.49268833),1
10634,서초구,서울특별시 서초구 방배동 동광로1길 10 ,방범,37.49269683,126.984421,1,2021-01-19,POINT (126.984421 37.49269683),1
10635,서초구,서울특별시 서초구 방배동 동광로1길 10 ,방범,37.49269683,126.9844323,1,2021-01-19,POINT (126.9844323 37.49269683),1
10636,서초구,서울특별시 서초구 방배동 동광로1길 10 ,방범,37.49269728,126.9844416,1,2021-01-19,POINT (126.9844416 37.49269728),1
10637,서초구,서울특별시 서초구 방배동 방배중앙로 145 ,방범,37.49269731,126.9867753,1,2021-01-19,POINT (126.9867753 37.49269731),1
10638,서초구,서울특별시 서초구 서초동 사임당로19길 94 삼호주택,방범,37.49270817,127.020231,1,2021-01-19,POINT (127.020231 37.49270817),1
10639,서초구,서울특별시 서초구 방배동 동광로 78 ,방범,37.49271022,126.9919568,1,2021-01-19,POINT (126.9919568 37.49271022),1
10640,서초구,서울특별시 서초구 방배동 동광로 49 오슬로모텔,방범,37.49271155,126.9885683,1,2021-01-19,POINT (126.9885683 37.49271155),1
10641,서초구,서울특별시 서초구 서초동 사임당로19길 94 삼호주택,방범,37.49271623,127.0202355,1,2021-01-19,POINT (127.0202355 37.49271623),1
10642,서초구,서울특별시 서초구 방배동 동광로 49 오슬로모텔,방범,37.49271916,126.9885638,1,2021-01-19,POINT (126.9885638 37.49271916),1
10643,서초구,서울특별시 서초구 방배동 동광로1길 10 ,방범,37.49272079,126.9847888,1,2021-01-19,POINT (126.9847888 37.49272079),1
10644,서초구,서울특별시 서초구 방배동 동광로 49 오슬로모텔,방범,37.49272274,126.9885748,1,2021-01-19,POINT (126.9885748 37.49272274),1
10645,서초구,서울특별시 서초구 서초동 사임당로19길 94 삼호주택,방범,37.49272631,127.0202377,1,2021-01-19,POINT (127.0202377 37.49272631),1
10646,서초구,서울특별시 서초구 방배동 방배중앙로 159 서초구어르신행복e음센터,방범,37.49301454,126.9858069,1,2021-01-19,POINT (126.9858069 37.49301454),1
10647,서초구,서울특별시 서초구 서초동 서초대로 286 서초프라자,방범,37.49307485,127.0138872,1,2021-01-19,POINT (127.0138872 37.49307485),1
10648,서초구,서울특별시 서초구 서초동 서초대로 286 서초프라자,방범,37.49308829,127.0138805,1,2021-01-19,POINT (127.0138805 37.49308829),1
10649,서초구,서울특별시 서초구 방배동 방배로37길 35 ,방범,37.49309607,126.9877709,1,2021-01-19,POINT (126.9877709 37.49309607),1
10650,서초구,서울특별시 서초구 방배동 방배로37길 35 ,방범,37.49310077,126.9877546,1,2021-01-19,POINT (126.9877546 37.49310077),1
10651,서초구,서울특별시 서초구 방배동 방배로37길 35 ,방범,37.49310362,126.9877647,1,2021-01-19,POINT (126.9877647 37.49310362),1
10652,서초구,서울특별시 서초구 방배동 동광로 97 ,방범,37.49314964,126.9934412,1,2021-01-19,POINT (126.9934412 37.49314964),1
10653,서초구,서울특별시 서초구 방배동 동광로 97 ,방범,37.49315456,126.99346,1,2021-01-19,POINT (126.99346 37.49315456),1
10654,서초구,서울특별시 서초구 방배동 동광로 97 ,방범,37.49316016,126.9934805,1,2021-01-19,POINT (126.9934805 37.49316016),1
10655,서초구,서울특별시 서초구 서초동 서초대로 279 국제빌딩,방범,37.49317594,127.0126306,1,2021-01-19,POINT (127.0126306 37.49317594),1
10656,서초구,서울특별시 서초구 서초동 서초대로 279 국제빌딩,방범,37.49317594,127.0126265,1,2021-01-19,POINT (127.0126265 37.49317594),1
10657,서초구,서울특별시 서초구 서초동 서초대로 279 국제빌딩,방범,37.49317916,127.0126225,1,2021-01-19,POINT (127.0126225 37.49317916),1
10658,서초구,서울특별시 서초구 서초동 서초대로54길 29 글로리아빌딩,방범,37.49320437,127.0174486,1,2021-01-19,POINT (127.0174486 37.49320437),1
10659,서초구,서울특별시 서초구 서초동 서초대로54길 29 글로리아빌딩,방범,37.49321086,127.0174312,1,2021-01-19,POINT (127.0174312 37.49321086),1
10660,서초구,서울특별시 서초구 서초동 서초대로54길 29 글로리아빌딩,방범,37.49321377,127.0174433,1,2021-01-19,POINT (127.0174433 37.49321377),1
10661,서초구,서울특별시 서초구 반포동 동광로49길 7 양지빌딩,방범,37.49325702,127.0023613,1,2021-01-19,POINT (127.0023613 37.49325702),1
10662,서초구,서울특별시 서초구 반포동 동광로46길 7 가람빌라,방범,37.49326969,127.0007613,2,2021-01-19,POINT (127.0007613 37.49326969),1
10663,서초구,서울특별시 서초구 방배동 동광로1길 32 ,방범,37.49328681,126.9844076,1,2021-01-19,POINT (126.9844076 37.49328681),1
10664,서초구,서울특별시 서초구 방배동 방배중앙로 155 우리빌딩,방범,37.49329394,126.9863403,1,2021-01-19,POINT (126.9863403 37.49329394),1
10665,서초구,서울특별시 서초구 방배동 방배중앙로 155 우리빌딩,방범,37.49329716,126.9863403,2,2021-01-19,POINT (126.9863403 37.49329716),1
10666,서초구,서울특별시 서초구 방배동 방배중앙로 155 우리빌딩,방범,37.49329716,126.9863443,1,2021-01-19,POINT (126.9863443 37.49329716),1
10667,서초구,서울특별시 서초구 방배동 동광로1길 32 ,방범,37.49330618,126.9847844,1,2021-01-19,POINT (126.9847844 37.49330618),1
10668,서초구,서울특별시 서초구 서초동 사임당로17길 101 ,방범,37.49332465,127.0189376,1,2021-01-19,POINT (127.0189376 37.49332465),1
10669,서초구,서울특별시 서초구 서초동 서초대로54길 9 ,방범,37.49332543,127.0160459,1,2021-01-19,POINT (127.0160459 37.49332543),1
10670,서초구,서울특별시 서초구 방배동 방배로37길 35 ,방범,37.4933295,126.9871254,1,2021-01-19,POINT (126.9871254 37.4933295),1
10671,서초구,서울특별시 서초구 서초동 서초대로54길 9 ,방범,37.49333059,127.0160308,1,2021-01-19,POINT (127.0160308 37.49333059),1
10672,서초구,서울특별시 서초구 방배동 방배로37길 35 ,방범,37.49333272,126.9871254,2,2021-01-19,POINT (126.9871254 37.49333272),1
